feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,target
0.0,0.05644299999999999,0.439155,0.003467,0.422915,0.414912,1
0.021277,0.051699,0.415055,0.003467,0.422915,0.414912,1
0.042553,0.051489,0.385004,0.003467,0.422915,0.414912,1
0.06383,0.045485000000000005,0.314639,0.003467,0.422915,0.414912,1
0.085106,0.042482,0.251116,0.003467,0.422915,0.414912,0
0.10638299999999999,0.041161,0.20752800000000002,0.003467,0.422915,0.414912,0
0.12766,0.041161,0.171824,0.003467,0.422915,0.414912,0
0.14893599999999999,0.041161,0.152782,0.003467,0.422915,0.414912,0
0.170213,0.041161,0.13493,0.003467,0.422915,0.414912,0
0.19148900000000002,0.041161,0.14058299999999999,0.003467,0.422915,0.414912,0
0.21276599999999998,0.044374000000000004,0.168997,0.003467,0.422915,0.414912,1
0.23404299999999997,0.049868,0.212437,0.003467,0.422915,0.414912,1
0.255319,0.051489,0.298721,0.003467,0.422915,0.414912,1
0.276596,0.042482,0.39036,0.003467,0.422915,0.414912,0
0.29787199999999997,0.040861,0.40226100000000004,0.003467,0.422915,0.414912,0
0.31914899999999996,0.040711000000000004,0.462214,0.003467,0.422915,0.414912,0
0.340426,0.040861,0.48824799999999996,0.003467,0.422915,0.414912,0
0.361702,0.040711000000000004,0.493306,0.003467,0.422915,0.414912,0
0.382979,0.041041,0.53258,0.003467,0.422915,0.414912,0
0.40425500000000003,0.041161,0.546415,0.003467,0.422915,0.414912,0
0.42553199999999997,0.044374000000000004,0.53496,0.003467,0.422915,0.414912,1
0.446809,0.044374000000000004,0.51681,0.003467,0.422915,0.414912,1
0.46808500000000003,0.044374000000000004,0.513984,0.003467,0.422915,0.414912,1
0.48936199999999996,0.045485000000000005,0.513835,0.003467,0.422915,0.414912,1
0.510638,0.044374000000000004,0.505356,0.003467,0.422915,0.414912,1
0.5319149999999999,0.044374000000000004,0.497917,0.003467,0.422915,0.414912,1
0.553191,0.042482,0.499554,0.003467,0.422915,0.414912,0
0.574468,0.044374000000000004,0.49166899999999997,0.003467,0.422915,0.414912,1
0.595745,0.044374000000000004,0.48973500000000003,0.003467,0.422915,0.414912,1
0.617021,0.042482,0.47708999999999996,0.003467,0.422915,0.414912,0
0.6382979999999999,0.040861,0.466825,0.003467,0.422915,0.414912,0
0.659574,0.041161,0.47813199999999995,0.003467,0.422915,0.414912,0
0.680851,0.041161,0.484975,0.003467,0.422915,0.414912,0
0.702128,0.041161,0.503124,0.003467,0.422915,0.414912,0
0.723404,0.042482,0.55296,0.003467,0.422915,0.414912,0
0.744681,0.044374000000000004,0.612318,0.003467,0.422915,0.414912,1
0.765957,0.041041,0.587623,0.003467,0.422915,0.414912,0
0.787234,0.040711000000000004,0.5468609999999999,0.003467,0.422915,0.414912,0
0.808511,0.040711000000000004,0.497025,0.003467,0.422915,0.414912,0
0.829787,0.040861,0.47069300000000003,0.003467,0.422915,0.414912,0
0.8510639999999999,0.041041,0.446296,0.003467,0.422915,0.414912,0
0.87234,0.042482,0.412229,0.003467,0.422915,0.414912,0
0.893617,0.041161,0.368789,0.003467,0.422915,0.414912,0
0.9148940000000001,0.051489,0.34573000000000004,0.003467,0.422915,0.414912,1
0.9361700000000001,0.05644299999999999,0.40479,0.003467,0.422915,0.414912,1
0.9574469999999999,0.054641999999999996,0.42888999999999994,0.003467,0.422915,0.414912,1
0.978723,0.059235,0.445254,0.003467,0.422915,0.414912,1
1.0,0.054641999999999996,0.44093999999999994,0.003467,0.422915,0.414912,1
0.0,0.059235,0.442874,0.003467,0.422915,0.414912,1
0.021277,0.05644299999999999,0.41089,0.003467,0.422915,0.414912,1
0.042553,0.051489,0.378905,0.003467,0.422915,0.414912,1
0.06383,0.044374000000000004,0.31672100000000003,0.003467,0.422915,0.414912,0
0.085106,0.041041,0.257959,0.003467,0.422915,0.414912,0
0.10638299999999999,0.041161,0.214073,0.003467,0.422915,0.414912,0
0.12766,0.041161,0.178816,0.003467,0.422915,0.414912,0
0.14893599999999999,0.040951,0.151889,0.003467,0.422915,0.414912,0
0.170213,0.041011,0.1385,0.003467,0.422915,0.414912,0
0.19148900000000002,0.041041,0.142071,0.003467,0.422915,0.414912,0
0.21276599999999998,0.042482,0.171675,0.003467,0.422915,0.414912,0
0.23404299999999997,0.051489,0.21451900000000002,0.003467,0.422915,0.414912,1
0.255319,0.051489,0.30244,0.003467,0.422915,0.414912,1
0.276596,0.051489,0.393038,0.003467,0.422915,0.414912,1
0.29787199999999997,0.040861,0.395567,0.003467,0.422915,0.414912,0
0.31914899999999996,0.040861,0.456561,0.003467,0.422915,0.414912,0
0.340426,0.040861,0.487504,0.003467,0.422915,0.414912,0
0.361702,0.040861,0.488991,0.003467,0.422915,0.414912,0
0.382979,0.041041,0.52886,0.003467,0.422915,0.414912,0
0.40425500000000003,0.041041,0.533323,0.003467,0.422915,0.414912,0
0.42553199999999997,0.041041,0.519935,0.003467,0.422915,0.414912,0
0.446809,0.042362000000000004,0.502529,0.003467,0.422915,0.414912,0
0.46808500000000003,0.042482,0.49181800000000003,0.003467,0.422915,0.414912,0
